A;Á
Danakonongs;Danakonungs
Danakonungar;Danakonungar
Danavelde;Danaveldi
Danaveldi;Danaveldi
Danavelldi;Danaveldi
Danavirki;Danavirki
Danavirkis;Danavirkis
Danavællde;Danaveldi
Danavælldi;Danaveldi
Dane;Dani
Daner;Danir
Danir;Danir
Danmarcar;Danmerkur
Danmarcu;Danmörku
Danmarkar;Danmerkur
Danmarkr;Danmerkur
Danmarku;Danmörku
Danmorc;Danmörku
Danmorc;Danmörk
Danmorco;Danmörku
Danmorcu;Danmörku
Danmork;Danmörk
Danmork;Danmörku
Danmorko;Danmörku
Danmorku;Danmörku
Danmörk;Danmörk
Danmörk;Danmörku
Danmörku;Danmörku
DansaBergr;DansaBergur
Danum;Dönum
Daða;Daða
Dellingr;Dellingr
DigrHelga;DigurHelga
DigrHelgi;DigurHelgi
Djákni;Djákni
Dotter;Dóttir
Dottir;Dóttir
Draummaðrinn;Draummaðurinn
Draungum;Dröngum
Draupni;Draupni
Draupnir;Draupnir
Draupnis;Draupnis
Drengir;Drengir
Drepa;Drepa
Drepstokki;Drepstokki
Drottning;Drottning
Drukknaði;Drukknaði
Drukku;Drukku
DrumbOddssröðum;DrumbOddssröðum
Drífr;Drífur
Drógu;Drógu
Dróma;Dróma
Drósir;Drósir
Dróttning;Drottning
Dróttning;Dróttning
Dróttning;drottning
Dröfn;Dröfn
Duneyrr;Duneyrr
Duraþrór;Duraþrór
Durinn;Durinn
Dvaldist;Dvaldist
Dvalinn;Dvalinn
Dvalins;Dvalins
Dvergar;Dvergar
Dvergarnir;Dvergarnir
Dvergrinn;Dvergurinn
Dyljast;Dyljast
Dyrafyrði;Dýrafirði
Dáinn;Dáinn
Dáinsleif;Dáinsleif
Dálkr;Dálkur
Dálks;Dálks
Dætr;Dætur
Dóttir;Dóttir
Döglingar;Döglingar
Dögurðarnesi;Dögurðarnesi
Dökkálfar;Dökkálfar
Dölum;Dölum
Dönustaði;Dönustaði
Dúfa;Dúfa
Dýrafirði;Dýrafirði
Dýrafjarðar;Dýrafjarðar
Dýrafjarðarþings;Dýrafjarðarþings
Dýrafjörð;Dýrafjörð
EIRIKR;Eiríkur
Ec;Ég
Ef;Ef
Eftir;Eftir
EggiarKalfr;EggjarKálfur
Egil;Egil
Egill;Egill
Egils;Egils
Eigi;Eigi
Eigill;Egill
Eik;Eik
Eikþyrni;Eikþyrni
Eilifr;Eilífur
Eilifur;Eilífur
Eilífr;Eilífr
Eilífr;Eilífur
Eimr;Eimur
Ein;Ein
Einar;Einar
Einare;Einari
Einari;Einari
Einarr;Einarr
Einarr;Einar
Einars;Einars
Einarsdóttir;Einarsdóttir
Einarsdóttur;Einarsdóttur
Einarsson;Einarsson
Einarssonar;Einarssonar
Einherja;Einherja
Einherjar;Einherjar
Einn;Einn
Einriða;Indriða
