A;Á
kið;kið
kjalar;kjalar
kjannr;kjannur
kjósa;kjósa
kjöft;kjaft
kjöftr;kjaftur
kjörs;kjörs
kjötvaxinn;kjötvaxinn
klandaðir;klandaðir
klappar;klappar
klauf;klauf
klaustr;klaustur
klerka;klerka
klerkar;klerkar
klerkasveit;klerkasveit
klerkr;klerkur
klerkum;klerkum
klifat;klifað
klifra;klifra
klippa;klippa
kloaz;klóast
klofa;klofa
klofnar;klofnar
klubbu;klubbu
klukku;klukku
klyfberanum;klyfberanum
klyfiaða;klyfjaða
klyfjar;klyfjar
klyfjunum;klyfjunum
klái;klái
klædd;klædd
klæddi;klæddi
klæddist;klæddist
klæddizst;klæddist
klæddr;klæddur
klæddust;klæddust
klæde;klæði
klæja;klæja
klæjar;klæjar
klæða;klæða
klæðabúnað;klæðabúnað
klæðaskipti;klæðaskipti
klæðast;klæðast
klæðe;klæði
klæðes;klæðis
klæði;klæði
klæðist;klæðist
klæðit;klæðið
klæðnað;klæðnað
klæðom;klæðum
klæðst;klæðst
klæðum;klæðum
klæðzt;klæðst
klífa;klífa
klóm;klóm
knapp;knapp
knarrarbringu;knarrarbringu
knarru;knerri
kne;hné
kne;kné
kneno;hnénu
knerror;knerrir
knesætning;knésetning
knesætningr;knésetningur
kniam;hnjám
knifi;hnífi
kniom;hnjám
knorr;knörr
knorrum;knörrum
knyflar;knýflar
knár;knár
knè;hné
knè;kné
knèsbœtr;hnébætur
kné;hné
kné;kné
knéliðnum;hnéliðnum
knésbótum;hnésbótum
kníar;kníar
kníf;kníf
knífa;hnífa
knífi;hnífi
knífi;knífi
knífr;knífur
knífrinn;knífurinn
kníuð;kníuð
knúarnir;knúarnir
knút;knút
knúðist;knúðist
kolld;köld
kolldum;köldum
kollr;kollur
kolmerkt;kolmerkt
kom;kom
koma;koma
komandann;komandann
komandi;komandi
komast;komast
komen;kominn
komenn;kominn
komet;komið
komi;komi
komin;komin
kominn;kominn
komir;komir
komit;komit
komit;komið
komizt;komist
komizt;komizt
komk;komst
komna;komna
komnar;komnar
komner;komnir
komnir;komnir
komnum;komnum
komo;komu
komoz;komust
komozt;komust
koms;komst
komsk;komst
komst;komst
komu;komu
komuz;komust
komuzt;komust
komz;komst
komzst;komst
kona;kona
konan;konan
konar;konar
kono;konu
konom;konum
konong;konung
konong;konungur
konong;konungs
kononga;konunga
kononganna;konunganna
konongar;konungar
konongarner;konungarnir
konongborenna;konungborinna
konongborner;konungbornir
konongdom;konungdóm
konongdome;konungdómi
konongdomenom;konungdóminum
kononge;konuni
kononge;konungu
kononge;konungi
kononge;konungur
konongen;konunginn
konongenn;konunginn
konongenom;konunginum
konongi;konungi
kononginn;konunginn
kononglegt;konunglegt
konongom;konunugum
konongom;konunginum
konongom;konungum
konongr;konunugur
konongr;konugur
konongr;koungur
konongr;konungur
konongren;konungurinn
konongrenn;konungurinn
konongriki;konungríki
konongrinn;konungurinn
konongs;konungs
konongs;konugs
konongs;koungs
konongs;konung
konongsdomr;konungsdómur
konongsens;konungsins
konongsins;konungsins
konongum;koungum
kononogr;konungur
konor;konur
konr;konur
konu;konu
konum;konum
konuna;konuna
konung;konung
konunga;konunga
konungar;konungar
konungarnir;konungarnir
konungastefnu;konungastefnu
konungdóm;konungdóm
konungdómar;konungdómar
konungdómi;konungdómi
konungdómsins;konungdómsins
konungi;konungi
konunginn;konunginn
konunginum;konunginum
konungligum;konunglegum
konungr;konungr
konungr;konungur
konungr;konungru
konungrinn;konungurinn
konungrinn;konungrinn
konungs;konungs
konungsbarn;konungsbarn
konungsbréf;konungsbréf
konungsdrengir;konungsdrengir
konungsgarð;konungsgarð
konungsgarði;konungsgarði
konungsgarðinum;konungsgarðinum
konungshirð;konungshirð
konungsins;konungsins
konungsmenn;konungsmenn
konungsmál;konungsmál
konungssonr;konungssonur
konungum;konungum
konungur;konungur
konunnar;konunnar
konur;konur
konurigr;konungur
konurnar;konurnar
korenn;kórinn
korn;korn
kornnhialm;kornhjálm
kornskurðarmánuður;kornskurðarmánuður
kosinn;kosinn
kosneng;kosningu
kosnenge;kosningi
kosning;kosning
kosningar;kosningar
kossung;kossung
kossunge;kossungi
kost;kost
kostar;kostar
kostaði;kostaði
koste;kosti
kostgripi;kostgripi
kosti;kosti
kostig;kostug
kostir;kostir
kostið;kostið
kostnað;kostnað
kostnaðar;kostnaðar
kostnaðarsamt;kostnaðarsamt
kostnaði;kostnaði
kostr;kostur
kostudu;köstuðu
kostum;kostum
kotbꝍar;kotbæjar
koupstaðenn;kaupstaðinn
kraft;kraft
krafte;krafti
krafti;krafti
kraftr;kraftur
krafði;krafði
krafðr;krafinn
kraka;kraka
kraki;kraki
kraku;kráku
krapt;kraft
krapti;krafti
kraptr;kraftur
krefja;krefja
krevia;krefja
kristin;kristin
kristindóm;kristindóm
kristinn;kristinn
kristnaðr;kristnaður
kristne;kristni
kristni;kristni
kristniboð;kristniboð
kristnin;kristni
kristninni;kristninni
kristnir;kristnir
kristnisboð;kristniboð
kristnnat;kristnað
kristnum;kristnum
kroppaði;kroppaði
kross;kross
krossa;krossa
krákr;krákur
kráku;kráku
krákunefs;krákunefs
króki;króki
krókr;krókur
króks;króks
kuadzst;kvaðst
kuat;kvað
kuaz;kvaðst
kuellde;kveldi
kuellde;kvöldi
kuetz;kveðst
kuetzst;kveðst
kuezst;kveðst
kuikfe;kvikfé
kulu;kúlu
kumpánum;kumpánum
kumpáss;kompáss
kundr;kundur
kunna;kunna
kunna;kunni
kunnandi;kunnandi
kunne;kunni
kunni;kunni
kunnig;kunnug
kunnigt;kunnugt
kunnu;kunnu
kunnugt;kunnugt
kunnum;kunnum
kunnustu;kunnustu
kunnuð;kunnuð
kunnáttu;kunnáttu
kuoduzst;kvöddust
kuomu;komu
kuomur;komur
kuomuzst;komust
kuongadr;kvongaður
kuongazst;kvongast
kuroppinn;kroppinn
kurr;kurr
kurteisan;kurteisan
kurteisare;kurteisari
kurteisasti;kurteisasti
kurteisastr;kurteisastur
kurteisi;kurteisi
kurteisligum;kurteisislegum
kurteisligum;kurteislegum
kurteisum;kurteisum
kurteisustu;kurteisustu
kuru;kusu
kuʀi;kurrið
kvad;hvað
kvad;kvað
kvadde;kvaddi
kvaddi;kvaddi
kvaddir;kvaddir
kvam;kom
kvamo;komu
kvamu;komu
kvanfang;kvonfang
kvatt;kvatt
kvazk;kvaðst
kvað;hvað
kvað;kvað
kvaðst;kvaðst
kveikir;kveikir
kveikti;kveikti
kveiktu;kveiktu
kveld;kveld
kvelda;kvelda
kveldar;kveldar
kveldi;kveldi
kveldi;kvöldi
kveldit;kveldið
kvenbúnaðar;kvenbúnaðar
kvendi;kvendi
kvenkennd;kvenkennd
kvenkenndum;kvenkenndum
kvenkostir;kvenkostir
kvenna;kvenna
kvennafjöldi;kvennafjöldi
kvennaflokk;kvennaflokk
kvennmaðr;kvenmaður
kvensligum;kvenlegum
kvern;kvern
kvernaraugat;kvarnaraugað
kvernarinnar;kvernarinnar
kvernina;kvernina
kverninni;kvörninni
kvernstein;kvernstein
kvernsteinar;kvernsteinar
kvernunum;kvernunum
kveð;kveð
kveða;kveða
kveðandi;kveðandi
kveði;kveði
kveðin;kveðin
kveðir;kveðir
kveðit;kveðit
kveðit;kveðið
kveðja;kveðja
kveðju;kveðju
kveðjur;kveðjur
kveðnar;kveðnar
kveðr;kveðr
kveðr;kveður
kveðskap;kveðskap
kveðst;kveðst
kvik;kvik
kvikenda;kvikinda
kviknat;kviknað
kviknaði;kviknaði
kviknun;kviknun
kvikudropum;kvikudropum
kvikva;kvikva
kvikvendi;kvikindi
kvinna;kvinna
kvinnabúnaðr;kvennabúnaður
kvinnanna;kvennanna
kvisat;kvisat
kvistr;kvistur
kvistunum;kvistunum
kviðan;kviðan
kviðinn;kviðinn
kviðjumst;kveðjumst
kviðlingar;kviðlingar
kviðlingi;kviðlingi
kvámu;komu
kvámumönnum;komumönnum
kvánfang;kvonfang
kvánföng;kvánföng
kvángaðist;kvongaðist
kvángaðr;kvongaðr
kváðu;kváðu
kváðust;kváðust
kvæiktiz;kveiktist
kvældit;kvöldið
kvælld;kveld
kvælldet;kvöldið
kvæmi;kæmi
kværnstein;kvernstein
kvæðe;kvæði
kvæðeno;kvæðinu
kvæðet;kvæðið
kvæði;kvæði
kvæðinu;kvæðinu
kvæðisins;kvæðisins
kvæðit;kvæðið
kvæðiu;kveðju
kvæðom;kvæðum
kvæðum;kvæðum
kvíga;kvíga
kvínni;kvínni
kvöddu;kvöddu
kykt;kvikt
kykvendi;kvikindi
kykvendin;kvikindin
kykvendum;kykvendum
kykvir;kvikir
kylvuna;kylfuna
kyn;kyn
kyndilmessu;kyndilmessu
kyne;kyni
kyni;kyni
kynkvísl;kynkvísl
kynlegr;kynlegur
kynliga;kynlega
kynligast;kynlegast
kynligri;kynlegri
kynligum;kynlegum
kynni;kynni
kynnim;kynnum
kynnisleitan;kynnisleitan
kyns;kyns
kynslóð;kynslóð
kynstafr;kynstafur
kynstórir;kynstórir
kynsæll;kynsæll
kynsþáttr;kynsþáttur
kyr;kýr
kyrr;kyrr
kyrra;kyrra
kyrrar;kyrrar
kyrrir;kyrrir
kyrrlátar;kyrrlátar
kyrrt;kyrrt
kyrru;kyrru
kyrt;kyrrt
kyrtil;kyrtil
kyrtill;kyrtill
kyrtli;kyrtli
kálfanum;kálfanum
kálfi;kálfi
kálfur;kálfur
kápu;kápu
kápuhöttrinn;kápuhötturinn
kápuna;kápuna
kátir;kátir
kátr;kátur
kægill;kægill
kæisara;keisara
kæisarans;keisarans
kæisare;keisari
kæisarenn;keisarinn
kæisarinn;keisarinn
kæla;kæla
kæme;kæmi
kæmi;kæmi
kæmi;kæmu
kæmist;kæmist
kænde;kenndi
kændi;kenndi
kændr;kenndur
kændu;kenndu
kænna;kenna
kænni;kenni
kænning;kenningu
kænningar;kenningar
kær;kær
kærer;kærir
kærir;kærir
kærleika;kærleika
kærleikum;kærleikum
kæsiu;kesju
kæsiur;kesjur
kæsiurnar;kesjurnar
kæti;kæti
kólfskot;kólfskot
kómu;komu
kómu;kómu
kómust;komust
kómust;kómust
kómuzt;komust
kórkápu;kórkápu
kórsbræðr;kórsbræður
kórsbræðrum;kórsbræðrum
kóróna;kóróna
kórónaðr;kórónaður
kórónu;kórónu
köggulinn;köggulinn
kögursveinum;kögursveinum
köllum;köllum
köllut;kölluð
kölluð;kölluð
kölluðu;kölluðu
kölluðust;kölluðust
kölum;köllum
könnugr;konungur
könnuðu;könnuðu
köpp;köpp
köpuryrði;köpuryrði
köri;kysi
körinn;kjörinn
körit;kjörið
köstuðu;köstuðu
kött;kött
köttr;köttur
kötttrinn;kötturinn
köttum;köttum
kötturinn;kötturinn
kúa;kúa
kúgildi;kúgildi
kúlnasveinn;kúlnasveinn
kúlur;kúlur
kýl;kýl
kýr;kýr
kýrin;kýrin
kýs;kýs
kỏmr;kemur
kꝍme;kæmi
kꝍme;kæmu
kꝍmez;kæmist
kꝍmr;kemur
kꝍsiu;kesju
kꝍte;kæti
la;lá
lact;lagt
lafskꝍgs;lafskeggs
lag;lag
lag;lág
laga;laga
lagabrot;lagabrot
lagamaðr;lagamaður
lagana;laganna
laganna;laganna
lagaskipti;lagaskipti
lagde;lagði
lagdizst;lagðist
lage;lagi
lagena;lágina
lagenne;láginni
laghðe;lagði
lagi;lagi
lagit;lagt
lagit;lagið
lagizt;lagist
lagizt;lagst
lago;lágu
lagsmanna;lagsmanna
lagsmenn;lagsmenn
lagt;lagt
lagu;lágu
lagum;lögum
lagða;lagði
lagðe;lagði
lagðez;lagðist
lagðezk;lagðist
lagði;lagði
lagðist;lagðist
lagðiz;lagðist
lagðizt;lagðist
lagðr;lagður
lagðr;lagðr
lagðu;lögðu
lagðuzt;lögðust
lam;lam
lamb;lamb
lambahússhlaða;lambahússhlaða
lambahússins;lambahússins
lamit;lamið
lamði;lamdi
land;land
landa;landa
landaleitan;landaleiðan
landalæitan;landaleitina
landamæri;landamæri
lande;landi
landeign;landeign
landeign;landareign
landeno;landinum
landeno;landinu
landet;landið
landfastir;landfastir
landfestina;landfestar
landfólk;landfólk
landgongu;landgöngu
landhallt;landhallt
landi;landi
landi;land
landinu;landinu
landit;land
landit;landið
landkaupit;landkaupið
landkostir;landkostir
landkostum;landkostum
landkostum;landköstum
landnamamannz;landnámsmanns
landnyrdings;landnyrðings
landnámsmanna;landnámsmanna
landnámsmaðr;landnámsmaður
landrað;landráð
landráðendr;landráðendr
lands;lands
landsbúendum;landsbúendum
landsenda;landsenda
landseta;landseta
landseti;landseti
landsfólkinu;landsfólkinu
landsfólks;landsfólks
landsgæzlu;landsgæslu
landsheiti;landsheiti
landskjálfta;landskjálfta
landskjálfti;landskjálfti
landskostir;landskostir
landskylldir;landskuldir
landsleigu;landsleigu
landslög;landslög
landsmanna;landsmanna
landsmönnum;landsmönnum
landsofringi;landsforingi
landssæki;landssæki
landstjórn;landstjórn
landstjórnar;landstjórnar
landsuðr;landsuður
landsuðri;landsuðri
landsvörðu;landsvörðu
landsyn;landsýn
landtiolld;landtjöld
landum;löndum
landvarnar;landvarnar
landvarnarmenn;landvarnarmenn
landvært;landvært
landz;lands
landzkostr;landkostur
landzkostur;landskostur
landzsins;landsins
lanet;landið
langa;langa
langaföstu;langaföstu
langan;langan
langar;langar
lange;langi
langfeðganöfn;langfeðganöfn
langfeðgar;langfeðgar
langfeðr;langfeður
langfæðr;langfeður
langlokum;langlokum
langnefjaðr;langnefjaður
langre;langri
langrækr;langrækur
langskip;langskip
langskipa;langskipa
langskipi;langskipi
langstræteno;langstrætinu
langsyn;langsýnn
langsæi;langsæi
langt;langt
langu;löngu
langvistum;langvistum
lannd;landi
lannd;land
lannda;landa
lannde;landi
lanndeno;landinu
lanndet;landið
lanndinu;landinu
lanndit;landið
lanndum;löndum
lanndveges;landvegis
lannz;land
lannz;lands
lannzens;landsins
lannzfolkeno;landsfólkinu
lannzmenn;landsmenn
lanz;lands
lanzens;landsins
lanzfolkeno;landsfólkinu
lanzmanna;landsmanna
lanzmannum;landsmönnum
lasta;lasta
lastmæli;lastmæli
lastmælis;lastmælis
lat;lát
lata;láti
lata;láta
late;látið
latest;látist
latet;látið
latezk;látist
lateð;látið
latit;látið
latt;latt
latta;latti
lattez;lattist
latti;laðti
lattist;lattist
lattist;laðtist
lattu;löttu
latum;látum
lauc;lauk
lauf;lauf
laufadráttum;laufadráttum
laufsblað;laufsblað
laug;laug
laugar;laugar
laugardaginn;laugardaginn
laugardagsmorgininn;laugardagsmorguninn
laugarkveldit;laugarkveldið
laugaðe;laugaði
laugin;laugin
laugina;laugina
lauk;lauk
lauks;lauks
laukst;laukst
laun;laun
launa;launa
launat;launað
laungetin;laungetin
laungetinn;laungetinn
laungetnar;laungetnar
launráð;launráð
launum;launum
launungu;launungu
laupa;hlaupa
laus;laus
lausa;lausa
lausafjár;lausafjár
lausafé;lausafé
lausan;lausan
lausar;lausar
lausari;lausari
lausavísum;lausavísum
lauseygr;lauseygur
laushár;laushár
lausir;lausir
lausn;lausn
lausnara;lausnara
lauss;laus
lauss;lauss
laust;laust
laustMóðólfr;laustMóðólfur
lausum;lausum
lausung;lausung
laut;laut
laut;hlaut
lax;lax
laxinn;laxinn
laxlíki;laxlíki
laða;hlaða
laðen;hlaðin
lede;léði
ledi;léði
legatus;legaðus
leget;legið
legg;legg
leggi;leggið
leggi;leggi
leggia;leggja
leggir;leggir
leggið;leggið
leggja;leggja
leggjast;leggjast
leggr;leggr
leggr;leggur
leggr;legður
leggst;leggst
legit;legið
legstæini;legsteini
legði;legði
legðu;legðu
leiande;hlæjandi
leid;leið
leida;leiða
leiddar;leiddar
leiddi;leiddi
leiddir;leiddir
leiddist;leiddist
leiddr;leiddur
leiddu;leiddu
leiddust;leiddust
leif;leif
leiftr;leiftur
leifð;leifð
leifða;leifði
leigu;leigu
leigðu;leigðu
leik;leik
leika;leika
leikana;leikana
leikar;leikar
leikast;leikast
leikinn;leikinn
leikmanna;leikmanna
leikmaðr;leikmaður
leikmönnum;leikmönnum
leikr;leikr
leikr;leikur
leiks;leiks
leikum;leikum
leinge;lengi
leingr;lengur
leingra;lengra
leingst;lengst
leiri;leiri
leirjötunninn;leirjötunninn
leista;leista
leit;leit
leit;leið
leita;leiða
leita;leita
leitar;leiðar
leitar;leitar
leitat;leitat
leitat;leitað
leitat;leitaði
leitaðe;leitaði
leitaðe;leitaðu
leitaði;leitaði
leitaðir;leitaðir
leitaðu;leituðu
leiti;leiti
leitir;leitir
leitt;leitt
leituðu;leiðuðu
leituðu;leituðu
leituðust;leituðust
leizt;leist
leið;leið
leiða;leiða
leiðangr;leiðangur
leiðangrar;leiðangrar
leiðangre;leiðangri
leiðangrenn;leiðangurinn
leiðangrslið;leiðangurslið
leiðar;leiðar
leiðarinnar;leiðarinnar
leiðast;leiðast
leiðin;leiðin
leiðir;leiðir
leiðist;leiðist
leiðr;leiður
leiðrétta;leiðrétta
leku;léku
lemja;lemja
len;lén
lend;lend
lenda;lenda
lendar;lendar
lender;lendir
lendir;lendir
lendra;lendra
lendum;lendum
lenge;lengi
lengi;lengi
lengja;lengja
lengr;lengr
lengr;lengur
lengra;lengra
lengri;lengri
lengrum;lengrum
lengst;lengst
lengsta;lengsta
lengstum;lengstum
lengð;lengd
lenndir;lendir
lens;léns
lesa;lesa
lesit;lesið
lesizt;lesist
lest;lést
lestist;lestist
let;lét
letaniam;letaniam
lete;léti
letezt;létust
leto;létu
letoz;létust
letta;létta
lette;létti
letu;létu
leyfi;leyfi
leyft;leyft
leyfð;leyfð
leyfði;leyfði
leyfðið;leyfðið
leyna;leyna
leynast;leynast
leynd;leynd
leyndi;leyndi
leyndum;leyndum
leyniliga;leynilega
leynist;leynist
leynistaðar;leynistaðar
leynivág;leynivág
leynivágr;leynivogur
leynð;leynd
leysa;leysa
leysi;leysi
leysingu;leysingu
leysir;leysir
leyst;leyst
leysti;leysti
leystist;leystist
leystr;leystur
leystu;leystu
lez;lést
lezk;lést
lezt;lést
lezto;léstu
lia;ljá
licame;líkama
licamr;líkami
licastr;líkastur
licaðe;líkaði
liclict;líklegt
lict;líkt
licum;líkum
lid;lið
lide;liði
lide;líði
lidit;liðið
lidnir;liðnir
lids;liðs
lif;líf
lifa;lifa
lifanda;lifandi
lifanda;lifanda
lifat;lifað
lifdagha;lífdaga
lifde;lifði
life;lífi
lifet;lífið
lifi;lifi
lifi;lífi
lifir;lifir
lifið;lifið
lifrar;lifrar
lifri;lifri
lifs;lífs
lifshasca;lífsháska
lifða;lifði
lifðar;hlífðar
lifði;lifði
lifði;lifðu
lifðu;lifðu
ligghia;liggja
liggia;liggja
liggium;liggjum
liggja;liggja
liggr;liggur
liggr;liggr
liggr;leggur
lik;lik
lik;lík
likar;líkar
likare;líkari
likari;líkari
likazst;líkast
likaðe;líkaði
like;líki
liket;líkið
liki;líki
likin;líkin
likinu;líkinu
likit;líkið
liklegra;líklegra
liklegt;líklegt
likr;líkur
liku;líku
likum;líkum
lima;lima
limar;limar
limhlaupa;limhlaupa
limi;limi
limr;limur
limu;limu
limum;limum
linar;linar
linara;linara
linliga;linliga
linnr;linnur
linr;linur
liome;ljómi
liop;hljóp
liop;hlóp
liopo;hlupu
liopu;hlupu
liosiỏrp;ljósjörp
lioslæik;ljósleik
liota;hljóta
lioðet;hljóðið
list;list
lit;lið
lit;lítt
lit;lit
litast;litast
litaðist;litaðist
litil;lítil
litill;lítill
litilli;lítilli
litilmenni;lítilmenni
litilræðe;lítilræði
litilæte;lítillæti
litinn;lítinn
litit;lítið
litizt;litist
litla;litla
litli;litli
litlir;litlir
litlu;liðlu
litlu;litlu
litlum;litlum
litlustofu;litlustofu
litlustofunnar;litlustofunnar
litr;litur
litt;lítt
litu;litu
litum;litum
litzst;líst
liupu;hlupu
lizk;líst
lið;hlið
lið;lið
liða;líða
liðanda;líðanda
liðar;hliðar
liðar;liðar
liðe;liði
liðet;liðið
liðet;hliðið
liðfarr;liðfár
liðhending;liðhending
liðhendingar;liðhendingar
liðhendr;liðhendur
liðhendr;liðhendr
liðhendur;liðhendur
liði;liði
liði;líði
liðin;liðin
liðinu;liðinu
liðit;liðið
liðnir;liðnir
liðnum;liðnum
liðr;liður
liðs;líð
liðs;liðs
liðsemd;liðsemd
liðsens;liðsins
liðsinni;liðsinni
liðsinnis;liðsinnis
liðsins;liðsins
liðsmanna;liðsmanna
liðsmun;liðsmun
liðsmunr;liðsmunur
liðu;liðu
liðveizlu;liðveislu
liðveizlumönnum;liðveislumönnum
liðvæizla;liðveisla
liþi;liði
ljá;ljá
ljána;ljána
ljánum;ljánum
ljárnir;ljárnir
ljós;ljós
ljósasta;ljósasta
ljósfari;ljósfari
ljóshærðr;ljóshærður
ljósinu;ljósinu
ljósit;ljósið
ljóss;ljós
ljóst;ljóst
ljósta;ljósta
ljótan;ljótan
ljótir;ljótir
ljótt;ljótt
ljóð;ljóð
ljóðr;ljóður
ljóðæska;ljóðæska
ljúga;ljúga
lo;hló
loccom;lokkum
loccor;lokkur
loddi;loddi
lof;lof
lofa;lofa
lofandi;lofandi
lofaði;lofaði
lofaðir;lofaðir
lofaðr;lofaður
lofi;lofi
lofkvæðum;lofkvæðum
lofs;lofs
lofsfullri;lofsfullri
lofsæl;lofsæl
loft;loft
lofteno;loftinu
loftet;loftið
lofti;lofti
loftin;loftin
loftinu;loftinu
loftit;loftið
lofts;lofts
loftsins;loftsins
loftsvaler;loftsvalir
loftunga;loftunga
lofuð;lofuð
lofuðu;lofuðu
log;lög
loganda;logandi
logandi;logandi
logarspánum;logarspánum
logarspánuna;logarspánuna
logdu;lögðu
logen;login
logen;lögin
loget;logið
logh;lög
loginn;loginn
logit;logið
logn;logn
logo;hlógu
logum;lögum
logðu;lögðu
logðuzk;lögðust
lokars;lokar
loket;lokið
lokit;logið
lokit;lokið
lokka;lokka
lokkamaðrinn;lokkamaðurinn
lokkr;lokkur
lokkuðu;lokkuðu
loknum;loknum
lokunum;logunum
lond;lönd
londum;löndum
long;löng
longum;löngum
lonnd;lönd
lonndum;löndum
lopt;loft
loptet;loftið
lopti;lofti
loptin;loftin
loptum;loftum
loptunum;loftum
losna;losna
losnar;losnar
losnaðe;losnaði
losnaði;losnaði
lostenn;lostinn
lostet;lostið
lostinn;lostinn
lostit;lostið
lotet;hlotið
lous;laus
loust;laust
loðbrocar;loðbrókar
loðbrók;loðbrók
loðbrókar;loðbrókar
loðkápu;loðkápu
loðo;hlóðu
loðo;lögðu
luca;ljúka
lufa;lúfa
luktu;luktu
lund;lund
lundinum;lundinum
lundr;lundur
lunnd;lund
lustu;lustu
lut;hlut
luta;hluta
lutanna;hlutanna
lutaðu;hlutuðu
lutenn;hlutinn
lutenom;hlutinum
lutfallet;hlutfallið
luti;hluti
lutir;hlutir
lutr;hlutur
lutrenn;hluturinn
lutu;lutu
lutum;hlutum
luðr;lúður
luðra;lúðra
luðrar;lúðrar
luðri;lúðri
lx;fimmtigur
lx;sextigur
lxx;sjötigur
lxxx;áttatigu
lyddi;hlýddi
lyfti;lyfti
lyftingar;lyftingar
lyftingina;lyftinguna
lyftir;lyftir
lyftu;lyftu
lygi;lygi
lygisögur;lygisögur
lykist;lykist
lykiz;lykist
lykr;lýkur
lyktast;lyktast
lyktum;lyktum
lypt;lyft
lypting;lyftingu
lypting;lyfting
lyptingu;lyftingu
lyptingunne;lyftingunni
lyser;lýsir
lysizk;lýsist
lyst;lýst
lysti;lýsti
lysti;lysti
lysti;lýstu
lystiz;lýstist
lystug;lystugt
lyða;lýða
lyða;hlýða
lyði;hlýðið
lyðr;lýður
làtið;látið
lá;lá
lág;lág
lága;lága
lági;lági
lágliga;láglega
lágr;lágur
lágr;lágr
lágt;lágt
lágu;lágu
lám;lám
lás;lás
lásinn;lásinn
lásu;lásu
láta;láta
látast;látast
láti;láti
látim;látum
látimst;látimst
látit;látið
látizt;látizt
látizt;látist
látið;látið
látnir;látnir
látprúð;látprúð
látum;látum
lægdu;lögðu
læge;lægi
læge;legi
lægeno;leginu
læget;hlegið
læget;legið
lægg;legg
læggi;leggið
læggia;leggja
læggiast;leggjast
læggim;leggjum
læggium;leggjum
læggr;leggur
lægi;lægi
lægi;legi
lægiazk;leggjast
lægra;lægri
lægra;lægra
lægri;lægri
lægri;læguri
lægz;lægst
lægði;lægði
læid;leið
læiddi;leiddi
læiddiz;leiddist
læiddr;leiddur
læifð;leifð
læikar;leika
læikar;leikar
læingr;lengur
læingra;lengra
læir;leir
læira;leira
læiru;leiru
læit;leit
læita;leita
læita;leira
læitade;leitaði
læitar;leitar
læitaðe;leitaði
læið;leið
læiða;leiða
læiðangr;leiðafur
læiðangrenn;leiðangurinn
læk;læk
lækna;lækna
lækni;lækni
lækningar;lækningar
lækninguna;lækninguna
læknir;læknir
læn;lén
lændir;lendir
lændr;lendur
lændra;lendra
længi;lengi
længr;lengur
længra;lengra
længri;lengri
længst;lengst
længð;lengd
lænndir;lendir
lænndr;lendur
lænndra;lendra
lær;lær
lær;læri
læra;læra
læri;læri
lærin;lærin
læringar;læringar
lærlegg;lærlegg
lærleggrinn;lærleggurinn
lærða;lærða
lærðum;lærðum
læsti;læsti
læsto;læstu
læt;læt
læte;læti
læti;læti
lætr;lætur
lætr;lætr
lævísi;lævísi
læynilegom;leynilegum
læzk;lést
lèt;lét
lètust;létust
lèzt;lést
lék;lék
léreft;léreft
lét;lét
léti;léti
létist;létist
létta;létta
léttara;léttara
léttari;léttari
létti;létti
léttiliga;léttilega
léttir;léttir
léttist;léttist
léttu;léttu
létu;létu
létust;létust
lézt;lést
lézt;lét
lézt;lézt
léði;lánaði
líf;líf
lífi;lífi
lífit;lífið
lífláti;lífláti
lífláts;lífláts
lífs;lífs
lífsgriða;lífsgriða
lífsháska;lífsháska
lífsháski;lífsháski
lífshættu;lífshættu
lík;lík
líka;líka
líkama;líkama
líkamanum;líkamanum
líkami;líkami
líkaminn;líkaminn
líkandi;líkandi
líkar;líkar
líkara;líkara
líkari;líkari
líkast;líkast
líkaði;líkaði
líkblæjunni;líkblæjunni
líkendi;líkindi
líkendum;líkendum
líkendum;líkindum
líkferð;líkferð
líki;líki
líkin;líkin
líking;líking
líkinu;líkinu
líkligan;líkligan
líkligast;líklegast
líkligastir;líklegastir
líkligt;líklegt
líkn;líkn
líknsamastr;líknsamastr
líknskin;líknskin
líkr;líkur
líksins;líksins
líkt;líkt
línfé;línfé
língarn;língarn
líoma;líoma
lít;lít
líta;líta
lítast;lítast
lítil;lítil
lítill;lítill
lítilli;lítilli
lítillátligt;lítillátlegt
lítillæti;lítillæti
lítilmennska;lítilmennska
lítilræði;lítilræði
lítinn;lítinn
lítir;lítir
lítit;lítit
lítit;lítið
lítr;lítur
lítt;lítt
lízt;líst
líð;líð
líða;líða
líði;líði
líðr;líður
lófa;lófa
lófann;lófann
lófarnir;lófarnir
lófum;lófum
lóg;lóg
lög;lög
lögbók;lögbók
lögfesti;lögfesti
lögleysu;lögleysu
lögmanns;lögmanns
lögmaðr;lögmaður
lögr;lögur
lögrétta;lögrétta
lögsögn;lögsögn
lögsögu;lögsögu
lögsögumanns;lögsögumanns
lögsögumaðr;lögsögumaður
lögum;lögum
lögunautar;lögunautar
lögunautr;lögunautur
lögð;lögð
lögðu;lögðu
lögðust;lögðust
lönd;lönd
löndin;löndin
löndum;löndum
löng;löng
löngu;löngu
löngum;löngum
lönðum;löndum
löstum;löstum
löttu;löttu
lúka;ljúka
lúka;lúka
lúkast;lokast
lúkast;lúkast
lúkast;ljúkast
lúki;lúki
lúta;lúta
lútask;lútask
lúðr;lúður
lýi;lýi
lýkr;lýkur
lýkr;lýkr
lýkst;lýkur
lýsa;lýsa
lýsi;lýsi
lýsigull;lýsigull
